"date", "Maturity","open","high","low","close"
20090406,200905,51.61,53.14,51.61,53.05
20090407,200905,50.96,52.33,50.96,51.37
20090408,200905,49.68,49.68,48.59,48.92
20090409,200905,51.05,52.50,51.05,52.37
20090410,200905,52.85,52.85,52.24,52.65
20090413,200905,52.95,52.98,52.66,52.95
20090414,200905,51.33,51.99,50.63,51.20
20090415,200905,51.06,51.90,50.96,51.85
20090416,200905,51.50,52.00,50.75,51.41
20090417,200905,51.66,51.81,51.13,51.13
20090420,200905,51.37,51.37,50.36,50.87
20090421,200905,48.61,48.82,48.61,48.82
20090422,200905,48.70,48.72,48.25,48.39
20090423,200905,48.70,48.70,47.90,48.52
20090424,200905,49.64,49.64,47.77,48.53
20090427,200905,49.32,49.46,48.22,48.32
20090428,200905,49.32,49.32,47.60,47.65
20090430,200905,49.06,50.49,49.06,50.21
20090501,200906,49.56,49.81,49.46,49.57
20090507,200906,55.55,57.34,55.47,56.29
20090508,200906,56.79,57.51,56.42,57.24
20090511,200906,57.65,57.83,57.15,57.29
20090512,200906,57.49,57.49,56.35,56.92
20090513,200906,59.01,59.01,58.41,58.68
20090514,200906,58.92,58.92,56.41,57.26
20090515,200906,57.24,58.52,56.07,58.24
20090518,200906,58.22,58.22,55.38,55.55
20090519,200906,55.60,58.22,55.60,58.05
20090520,200906,58.70,58.76,57.43,58.40
20090521,200906,59.07,59.55,58.87,59.02
20090522,200906,59.53,59.89,58.59,59.51
20090525,200906,58.97,59.49,58.93,59.15
20090526,200906,59.46,59.46,58.50,58.84
20090527,200906,58.17,60.28,57.10,60.28
20090528,200906,59.37,60.47,59.37,60.42
20090529,200906,60.80,63.49,60.80,63.49
20090601,200907,64.59,65.70,64.41,65.68
20090602,200907,64.11,67.03,64.11,66.50
20090603,200907,66.40,67.69,66.07,67.33
20090604,200907,67.37,67.37,64.95,65.85
20090605,200907,66.74,68.65,66.74,68.60
20090608,200907,67.35,67.48,66.59,66.88
20090609,200907,66.94,68.66,66.31,68.66
20090610,200907,68.97,70.21,68.97,70.18
20090611,200907,70.64,71.36,70.35,71.29
20090612,200907,70.65,71.45,70.65,71.33
20090615,200907,70.63,70.97,69.58,69.65
20090616,200907,70.80,71.52,68.81,69.10
20090617,200907,70.74,70.74,68.73,70.41
20090618,200907,70.29,71.10,69.18,70.04
20090619,200907,69.49,70.59,69.12,70.53
20090622,200907,71.23,71.61,67.89,68.40
20090623,200907,67.58,67.58,65.13,65.13
20090624,200907,65.23,67.23,65.23,67.05
20090625,200907,66.54,67.99,66.54,67.95
20090626,200907,68.66,72.24,68.24,70.00
20090629,200907,70.28,70.80,67.53,67.75
20090630,200907,69.20,72.83,69.20,72.56
20090701,200908,70.23,70.25,68.97,69.22
20090702,200908,70.13,70.38,68.19,68.19
20090703,200908,67.78,67.94,65.37,66.55
20090706,200908,66.85,66.97,64.15,65.17
20090707,200908,63.69,64.51,63.60,63.97
20090708,200908,65.02,65.02,62.07,62.07
20090709,200908,63.11,63.28,59.86,61.49
20090710,200908,61.38,63.59,61.36,61.79
20090713,200908,61.22,61.89,59.99,59.99
20090714,200908,60.24,61.69,60.24,61.60
20090715,200908,61.66,62.10,61.32,62.08
20090716,200908,61.74,65.06,61.74,63.79
20090717,200908,64.08,64.08,63.25,63.44
20090721,200908,66.02,66.02,65.04,65.29
20090722,200908,65.21,65.68,65.02,65.63
20090723,200908,65.19,66.30,64.36,66.30
20090724,200908,65.80,68.48,65.80,68.48
20090727,200908,68.65,70.33,68.65,70.18
20090728,200908,67.91,70.11,67.91,69.54
20090729,200908,70.26,70.26,67.51,67.61
20090730,200908,66.94,66.97,64.85,65.53
20090731,200908,65.34,69.81,65.34,69.68
20090803,200909,69.21,71.49,69.21,71.49
20090804,200909,71.34,72.66,71.34,72.05
20090805,200909,73.18,73.42,72.75,73.17
20090806,200909,73.13,73.88,73.13,73.80
20090807,200909,73.47,73.47,72.72,73.16
20090810,200909,72.28,72.49,71.92,72.00
20090811,200909,72.32,72.63,72.32,72.47
20090812,200909,72.20,72.20,71.15,71.20
20090813,200909,70.57,72.72,70.57,72.72
20090814,200909,74.18,74.18,72.76,73.18
20090817,200909,73.61,73.61,69.30,69.42
20090818,200909,69.02,69.69,68.17,69.09
20090819,200909,69.82,72.32,69.82,70.48
20090820,200909,72.67,74.06,72.67,73.21
20090821,200909,73.56,73.56,71.34,71.34
20090824,200909,73.35,73.69,73.35,73.61
20090825,200909,73.29,73.29,72.36,72.36
20090826,200909,72.46,72.81,70.36,70.92
20090827,200909,72.52,72.52,69.78,70.01
20090828,200909,70.88,71.30,70.88,71.01
20090831,200909,71.96,71.96,70.86,70.86
20090901,200910,69.96,69.96,68.58,69.06
20090902,200910,69.38,69.38,67.43,67.60
20090903,200910,67.61,67.85,66.65,67.51
20090904,200910,67.60,67.60,66.79,66.85
20090907,200910,66.34,67.01,66.29,67.01
20090908,200910,67.49,67.49,66.56,67.18
20090909,200910,67.29,69.46,67.29,69.46
20090910,200910,69.61,70.58,69.61,70.58
20090911,200910,70.26,70.56,70.12,70.22
20090914,200910,67.03,67.03,66.28,66.45
20090915,200910,67.36,67.53,67.36,67.52
20090916,200910,68.71,69.39,68.71,69.39
20090917,200910,71.21,71.31,70.70,71.10
20090918,200910,70.61,70.88,70.54,70.88
20090924,200910,68.91,70.51,68.89,70.18
20090925,200910,67.64,68.96,64.92,65.50
20090928,200910,65.76,65.94,63.75,64.16
20090929,200910,65.86,65.86,64.27,65.47
20090930,200910,65.38,65.90,65.38,65.88
20091001,200911,65.65,69.10,65.65,68.44
20091002,200911,68.91,69.09,68.34,68.84
20091005,200911,68.11,68.48,67.56,68.30
20091006,200911,69.29,69.29,68.34,68.48
20091007,200911,69.56,70.01,69.52,69.69
20091008,200911,69.37,69.77,68.08,68.27
20091009,200911,67.90,69.15,67.90,69.06
20091013,200911,68.74,71.02,68.56,70.98
20091014,200911,72.19,73.19,72.19,73.07
20091015,200911,73.05,74.00,73.05,73.76
20091016,200911,72.68,76.39,72.68,75.85
20091019,200911,76.26,76.61,76.03,76.61
20091020,200911,76.71,78.49,76.71,77.41
20091021,200911,76.63,76.63,76.15,76.49
20091022,200911,75.28,78.90,75.28,78.60
20091023,200911,77.92,79.30,77.92,79.30
20091026,200911,78.72,78.72,77.84,77.84
20091027,200911,77.36,78.60,77.01,77.01
20091028,200911,78.08,78.08,77.20,77.20
20091029,200911,77.46,77.62,74.90,75.06
20091030,200911,77.90,78.01,77.55,77.55
