date,Maturity,open,high,low,close,Settlement_Price,volume,turnover
20010910,200202,18200.00,18200.00,17570.00,17600.00,17600.00,19936,11339
20010911,200202,17600.00,17980.00,17540.00,17870.00,17870.00,10899,12685
20010912,200202,18570.00,18570.00,18570.00,18570.00,18570.00,3741,14428
20010913,200202,18550.00,18600.00,18100.00,18590.00,18590.00,18128,21407
20010914,200202,18450.00,18950.00,18400.00,18850.00,18850.00,13242,23932
20010917,200202,19460.00,19550.00,19440.00,19550.00,19550.00,6760,25496
20010918,200202,19140.00,19570.00,18860.00,19170.00,19170.00,22878,28610
20010919,200202,18470.00,18530.00,18470.00,18470.00,18470.00,11087,30453
20010920,200202,17770.00,17950.00,17770.00,17770.00,17770.00,18115,30850
20010921,200202,17520.00,17600.00,16900.00,17340.00,17340.00,18609,26910
20010925,200202,16290.00,16290.00,16290.00,16290.00,16290.00,3922,25266
20010926,200202,15240.00,15240.00,15240.00,15240.00,15240.00,4242,22878
20010927,200202,15410.00,15710.00,15270.00,15630.00,15630.00,9669,20474
20010928,200202,15840.00,15840.00,15600.00,15700.00,15700.00,3837,20114
20011001,200203,15850.00,16190.00,15800.00,16070.00,16070.00,7547,7712
20011002,200203,15940.00,16020.00,15710.00,15900.00,15900.00,5583,8743
20011003,200203,15310.00,15360.00,15000.00,15000.00,15000.00,8196,9716
20011004,200203,14810.00,15310.00,14800.00,15300.00,15300.00,7830,10410
20011005,200203,15540.00,15790.00,15360.00,15790.00,15790.00,7303,11517
20011009,200203,15480.00,15480.00,15210.00,15260.00,15260.00,5710,12361
20011010,200203,15380.00,15510.00,15300.00,15360.00,15360.00,5333,13488
20011011,200203,15410.00,15430.00,15220.00,15380.00,15380.00,3319,14054
20011012,200203,15970.00,16070.00,15850.00,15900.00,15900.00,10110,14682
20011015,200203,15310.00,15380.00,15220.00,15300.00,15300.00,6961,15673
20011016,200203,15250.00,15310.00,15040.00,15130.00,15130.00,6430,15057
20011017,200203,15200.00,15320.00,15090.00,15240.00,15240.00,4180,15677
20011018,200203,14970.00,15000.00,14720.00,14750.00,14750.00,7646,15998
20011019,200203,14440.00,14800.00,14440.00,14800.00,14800.00,7194,16362
20011022,200203,15060.00,15170.00,14990.00,15040.00,15040.00,5374,16624
20011023,200203,15080.00,15130.00,15000.00,15070.00,15070.00,3676,16612
20011024,200203,14840.00,14890.00,14600.00,14700.00,14700.00,5484,17020
20011025,200203,15100.00,15110.00,14950.00,14950.00,14950.00,4257,17370
20011026,200203,14920.00,15040.00,14830.00,15030.00,15030.00,4149,17267
20011029,200203,15050.00,15300.00,15050.00,15260.00,15260.00,3722,16650
20011030,200203,15050.00,15100.00,14850.00,14850.00,14850.00,2338,16454
20011031,200203,14750.00,14810.00,14710.00,14760.00,14760.00,3130,16320
20011101,200204,14410.00,14420.00,14270.00,14420.00,14420.00,6049,5026
20011102,200204,13740.00,13930.00,13740.00,13830.00,13830.00,8866,7127
20011105,200204,13800.00,14050.00,13800.00,13890.00,13890.00,6389,7960
20011106,200204,13740.00,13740.00,13480.00,13640.00,13640.00,11384,9514
20011107,200204,13270.00,13390.00,13190.00,13250.00,13250.00,13040,10535
20011108,200204,13500.00,13590.00,13500.00,13520.00,13520.00,7366,10436
20011109,200204,14180.00,14190.00,14070.00,14190.00,14190.00,10586,11825
20011112,200204,14890.00,14890.00,14850.00,14890.00,14890.00,6495,12715
20011113,200204,14190.00,14340.00,14190.00,14250.00,14250.00,10623,13278
20011114,200204,14320.00,14420.00,14200.00,14260.00,14260.00,8288,13391
20011115,200204,13560.00,13560.00,13560.00,13560.00,13560.00,2374,14559
20011116,200204,12860.00,12860.00,12860.00,12860.00,12860.00,3041,14927
20011119,200204,12710.00,12790.00,12460.00,12480.00,12480.00,13273,13190
20011120,200204,12720.00,12830.00,12650.00,12700.00,12700.00,7855,13100
20011121,200204,13270.00,13270.00,13100.00,13200.00,13200.00,5471,13111
20011122,200204,13000.00,13140.00,12950.00,13140.00,13140.00,5465,13705
20011126,200204,13380.00,13380.00,13010.00,13050.00,13050.00,5191,13974
20011127,200204,12960.00,13240.00,12960.00,13120.00,13120.00,7812,15381
20011128,200204,13310.00,13330.00,13200.00,13230.00,13230.00,4687,15468
20011129,200204,13130.00,13340.00,13130.00,13300.00,13300.00,2588,14944
20011130,200204,13180.00,13260.00,13140.00,13160.00,13160.00,2576,14546
20011203,200205,13620.00,13670.00,13460.00,13670.00,13670.00,5292,4342
20011204,200205,14120.00,14370.00,14100.00,14370.00,14370.00,8374,5914
20011205,200205,13800.00,13900.00,13750.00,13860.00,13860.00,5568,7223
20011206,200205,14000.00,14110.00,13830.00,14040.00,14040.00,6010,8230
20011207,200205,13430.00,13610.00,13390.00,13580.00,13580.00,7795,8989
20011210,200205,13830.00,13830.00,13520.00,13520.00,13520.00,5194,9844
20011211,200205,13400.00,13600.00,13340.00,13590.00,13590.00,5202,10372
20011212,200205,13320.00,13480.00,13270.00,13440.00,13440.00,7706,11694
20011213,200205,13500.00,13500.00,13320.00,13440.00,13440.00,4983,12380
20011214,200205,13420.00,13600.00,13320.00,13550.00,13550.00,4863,13466
20011217,200205,14240.00,14250.00,14170.00,14250.00,14250.00,6804,13835
20011218,200205,14200.00,14250.00,14090.00,14250.00,14250.00,8158,13694
20011219,200205,14250.00,14290.00,14150.00,14250.00,14250.00,3280,12921
20011220,200205,14310.00,14440.00,14250.00,14430.00,14430.00,4698,11685
20011221,200205,14320.00,14430.00,14220.00,14370.00,14370.00,2531,11287
20011225,200205,14640.00,15070.00,14520.00,15070.00,15070.00,4873,10527
20011226,200205,14700.00,15100.00,14700.00,15100.00,15100.00,5309,10581
20011227,200205,15800.00,15800.00,15800.00,15800.00,15800.00,692,10663
20011228,200205,15610.00,16500.00,15610.00,16350.00,16350.00,5163,10277
20020104,200206,15890.00,15920.00,15740.00,15740.00,15740.00,3704,18975
20020107,200206,16010.00,16110.00,15630.00,15770.00,15770.00,13470,19706
20020108,200206,15860.00,16260.00,15850.00,16230.00,16230.00,17284,20808
20020109,200206,15910.00,16080.00,15600.00,15680.00,15680.00,12874,21836
20020110,200206,15290.00,15600.00,15270.00,15570.00,15570.00,19270,22524
20020111,200206,15580.00,15880.00,15580.00,15750.00,15750.00,5367,23173
20020115,200206,15050.00,15050.00,15050.00,15050.00,15050.00,2535,23082
20020116,200206,14470.00,14560.00,14360.00,14360.00,14360.00,21667,23221
20020117,200206,14860.00,14900.00,14700.00,14880.00,14880.00,13151,22969
20020118,200206,14450.00,14720.00,14400.00,14690.00,14690.00,14500,22437
20020121,200206,14510.00,14630.00,14450.00,14520.00,14520.00,4807,22028
20020122,200206,14600.00,14800.00,14570.00,14650.00,14650.00,5245,22260
20020123,200206,14880.00,14900.00,14720.00,14720.00,14720.00,6093,21969
20020124,200206,14920.00,14970.00,14690.00,14800.00,14800.00,6336,21786
20020125,200206,15010.00,15140.00,15000.00,15110.00,15110.00,8620,20938
20020128,200206,15200.00,15320.00,15110.00,15320.00,15320.00,5902,21133
20020129,200206,15070.00,15280.00,15070.00,15240.00,15240.00,4417,20756
20020130,200206,14910.00,15010.00,14740.00,14790.00,14790.00,5325,19813
