センター名,住所,緯度,経度
北海道学習センター,北海道札幌市北区北17条西8丁目,43.080066,141.340013
旭川サテライトスペース,北海道旭川市常磐公園,43.775132,142.35712
青森学習センター,青森県弘前市文京町3,40.587934,140.473562
八戸サテライトスペース,青森県八戸市一番町1-9-22,40.508172,141.431224
岩手学習センター,岩手県盛岡市上田3-18-8,39.714304,141.139199
宮城学習センター,宮城県仙台市青葉区片平2-1-1,38.253261,140.873517
秋田学習センター,秋田県秋田市手形学園町1-1,39.727286,140.133478
山形学習センター,山形県山形市城南町1-1-1,38.250181,140.326736
福島学習センター,福島県郡山市桑野1-22-21,37.398654,140.353679
いわきサテライトスペース,福島県いわき市平鎌田字寿金沢22-1,37.056961,140.908757
茨城学習センター,茨城県水戸市文京2-1-1,36.400916,140.442778
栃木学習センター,栃木県宇都宮市峰町350,36.550692,139.914257
群馬学習センター,群馬県前橋市若宮町1-13-2,36.398742,139.073713
埼玉学習センター,埼玉県さいたま市大宮区錦町682-2,35.90812,139.62164
千葉学習センター,千葉県千葉市美浜区若葉2-11,35.653362,140.050052
東京渋谷学習センター,東京都渋谷区道玄坂1-10-7,35.657197,139.698948
東京文京学習センター,東京都文京区大塚3-29-1,35.719752,139.737354
東京足立学習センター,東京都足立区千住5-13-5,35.756542,139.802675
東京多摩学習センター,東京都小平市学園西町1-29-1,35.72027,139.475354
神奈川学習センター,神奈川県横浜市南区大岡2-31-1,35.423549,139.603548
新潟学習センター,新潟県新潟市中央区旭町通1番町754,37.919284,139.035168
富山学習センター,富山県射水市黒河5180,36.707817,137.096279
石川学習センター,石川県野々市市扇が丘7-1,36.531034,136.628436
福井学習センター,福井県福井市手寄1丁目4-1,36.060579,136.22348
山梨学習センター,山梨県甲府市武田4-4-37,35.679144,138.571898
長野学習センター,長野県諏訪市湖岸通り5-12-18,36.044096,138.110951
岐阜学習センター,岐阜県岐阜市薮田南5-14-53,35.391758,136.715264
静岡学習センター,静岡県三島市文教町1-3-93,35.128721,138.911499
浜松サテライトスペース,静岡県浜松市中区早馬町2-1,34.710485,137.733839
愛知学習センター,愛知県名古屋市昭和区八事本町101-2,35.138038,136.965316
三重学習センター,三重県津市一身田上津部田1234,34.744253,136.5006
滋賀学習センター,滋賀県大津市瀬田大江町横谷1-5,34.966259,135.94046
京都学習センター,京都府京都市下京区西洞院通塩小路下る,34.986375,135.75572
大阪学習センター,大阪府大阪市天王寺区南河堀町4－88,34.647574,135.519007
兵庫学習センター,兵庫県神戸市灘区六甲台町2-1,34.728304,135.234699
姫路サテライトスペース,兵庫県姫路市本町68-290,34.833736,134.693957
奈良学習センター,奈良県奈良市北魚屋東町,34.687905,135.828497
和歌山学習センター,和歌山県和歌山市西高松1-7-20,34.207228,135.170281
鳥取学習センター,鳥取県鳥取市富安2-138-4,35.491578,134.227009
島根学習センター,島根県松江市白潟本町43,35.465272,133.056122
岡山学習センター,岡山県岡山市北区津島中3-1-1,34.688903,133.919626
広島学習センター,広島県広島市中区東千田町1-1-89,34.380356,132.457587
福山サテライトスペース,広島県福山市霞町1-10-1,34.4828,133.366024
山口学習センター,山口県山口市吉田1677-1,34.149232,131.469104
徳島学習センター,徳島県徳島市新蔵町2-24,34.069981,134.559691
香川学習センター,香川県高松市幸町1-1,34.342696,134.038219
愛媛学習センター,愛媛県松山市文京町3,33.850742,132.772352
高知学習センター,高知県高知市曙町2-5-1,33.549509,133.486706
福岡学習センター,福岡県春日市春日公園6-1,33.522583,130.476369
北九州サテライトスペース,福岡県北九州市八幡西区黒崎3-15-3,33.866376,130.764265
佐賀学習センター,佐賀県佐賀市天神3-2-11,33.260096,130.291967
長崎学習センター,長崎県長崎市文教町1-14,32.786129,129.864659
熊本学習センター,熊本県熊本市中央区黒髪2-40-1,32.816352,130.72697
大分学習センター,大分県大分市野田380,33.203966,131.539256
宮崎学習センター,宮崎県日向市本町11-11,32.423502,131.624129
鹿児島学習センター,鹿児島県鹿児島市山下町14-50,31.59957,130.557804
沖縄学習センター,沖縄県中頭郡西原町字千原1,26.247589,127.76529
