年,性別,平均値等,年齢計,20_24歳,25_29歳,30_34歳,35_39歳,40_44歳,45_49歳,50_54歳,55_59歳,60_64歳,65_69歳
2001,男性,平均値,340.7,202.2,245.3,297.7,350.8,389.8,414.2,427.5,403.6,306.2,NA
2001,男性,第１十分位数,192.7,161.2,188.4,214.2,234.8,243.7,242.1,233.2,209.4,150.9,NA
2001,男性,第１四分位数,236.1,177.7,210.9,246.4,279.7,300.1,309.9,308,278.5,190.8,NA
2001,男性,中位数,307.4,198.2,236.8,284.8,333.7,368,390.8,404,375.7,256.7,NA
2001,男性,第３四分位数,408.2,220.8,269.3,334,399,453,490.4,520.6,497.2,360.7,NA
2001,男性,第９十分位数,531.6,248.7,308.4,393.6,479.7,556.1,610.3,651,630.7,521.3,NA
2001,男性,十分位分散係数,0.55,0.22,0.25,0.32,0.37,0.42,0.47,0.52,0.56,0.72,NA
2001,男性,四分位分散係数,0.28,0.11,0.12,0.15,0.18,0.21,0.23,0.26,0.29,0.33,NA
2001,女性,平均値,222.4,185.6,211.1,236.6,249.7,244.5,242.3,237.3,227.6,203.6,NA
2001,女性,第１十分位数,141.2,146.4,158.9,156.8,147.4,136.4,134.7,133.6,129.3,117.6,NA
2001,女性,第１四分位数,168,163.6,182.1,191.6,184.1,168.7,162.3,161.2,155.4,136.2,NA
2001,女性,中位数,203.3,181.8,206.3,230.4,239.3,222.3,212.2,205.8,197.2,166.9,NA
2001,女性,第３四分位数,253.1,204.7,234.8,271.9,296,298.5,295.3,284.4,263.7,226,NA
2001,女性,第９十分位数,323.8,229.9,267.4,316.8,357.5,378.1,393.2,385.7,365.6,324.4,NA
2001,女性,十分位分散係数,0.45,0.23,0.26,0.35,0.44,0.54,0.61,0.61,0.6,0.62,NA
2001,女性,四分位分散係数,0.21,0.11,0.13,0.17,0.23,0.29,0.31,0.3,0.27,0.27,NA
2002,男性,平均値,336.2,199.7,241,292.6,347,387.3,411.1,418.9,398.5,296.5,NA
2002,男性,第１十分位数,189.1,158.7,184.8,209.9,231.1,240.4,237.4,220.9,201.7,145.4,NA
2002,男性,第１四分位数,232,175.6,207.7,241.5,274.9,297.2,305.4,297.6,271.2,182.5,NA
2002,男性,中位数,302.8,196.2,233.7,279.8,330.4,364.9,389.1,395.2,369.5,248.9,NA
2002,男性,第３四分位数,403.9,218.5,264.5,327.6,396.6,449.6,488.1,513.2,493,349.8,NA
2002,男性,第９十分位数,528.1,246,304.3,386.9,477.3,556.4,607.4,644.2,630.7,521.1,NA
2002,男性,十分位分散係数,0.56,0.22,0.26,0.32,0.37,0.43,0.48,0.54,0.58,0.75,NA
2002,男性,四分位分散係数,0.28,0.11,0.12,0.15,0.18,0.21,0.23,0.27,0.3,0.34,NA
2002,女性,平均値,223.6,187.1,212.9,234.7,249.3,246.6,241.1,237.4,231.3,198.3,NA
2002,女性,第１十分位数,140.3,145.7,158.5,157.6,145,136.9,132.6,132.2,129.9,116.1,NA
2002,女性,第１四分位数,167.8,163.7,181.9,191.4,182.9,168.7,160.8,160.4,154.9,134.1,NA
2002,女性,中位数,204.3,183.2,207,227.3,237.3,224.1,211.6,206.4,198.5,162.1,NA
2002,女性,第３四分位数,255.3,206.4,238.3,268.7,296.8,300.1,295,283,271.3,216.9,NA
2002,女性,第９十分位数,326.5,233.7,273.1,315.8,360.2,381.5,388.6,387.6,373.1,319.9,NA
2002,女性,十分位分散係数,0.46,0.24,0.28,0.35,0.45,0.55,0.6,0.62,0.61,0.63,NA
2002,女性,四分位分散係数,0.21,0.12,0.14,0.17,0.24,0.29,0.32,0.3,0.29,0.26,NA
2003,男性,平均値,335.5,201.6,240.7,291,344,386.9,411.9,411.9,397.4,294.6,NA
2003,男性,第１十分位数,189.4,159.3,182.7,208.1,228.1,237.7,237.3,220.7,202.6,146,NA
2003,男性,第１四分位数,232.3,176.2,205.6,239.5,270.3,294.7,303.5,294.7,273.9,185.9,NA
2003,男性,中位数,301.9,196.9,232.8,278.1,325.1,364.1,388.8,389.7,370.4,246.9,NA
2003,男性,第３四分位数,402.5,220.2,266.3,326.1,393.2,449.1,488.8,500.7,489,345.4,NA
2003,男性,第９十分位数,522.5,247.6,305.1,385.8,474.8,552.6,608.2,626.9,621.1,509.4,NA
2003,男性,十分位分散係数,0.55,0.22,0.26,0.32,0.38,0.43,0.48,0.52,0.56,0.74,NA
2003,男性,四分位分散係数,0.28,0.11,0.13,0.16,0.19,0.21,0.24,0.26,0.29,0.32,NA
2003,女性,平均値,224.2,186,212.2,234.1,248.8,248.1,241.7,237.9,233.4,203.3,NA
2003,女性,第１十分位数,140.4,144.7,157,155.8,145.3,137.6,133.2,132.9,130.8,115.3,NA
2003,女性,第１四分位数,168,162.5,181.2,189.5,182.9,170.4,161.3,160.6,157.1,137,NA
2003,女性,中位数,205.3,182.1,207.3,226.8,236.8,227,213.4,209.1,199.4,170.3,NA
2003,女性,第３四分位数,256.6,206,238,265.7,294.8,301.8,293.5,284.5,276.7,225.3,NA
2003,女性,第９十分位数,327.8,232.4,270.5,312.6,356,382.6,390.1,379.8,379.6,331.5,NA
2003,女性,十分位分散係数,0.46,0.24,0.27,0.35,0.45,0.54,0.6,0.59,0.62,0.63,NA
2003,女性,四分位分散係数,0.22,0.12,0.14,0.17,0.24,0.29,0.31,0.3,0.3,0.26,NA
2004,男性,平均値,333.9,200.3,240.2,286.7,342.1,381.8,407.9,410.1,395.3,299.8,NA
2004,男性,第１十分位数,187.3,157.3,180.6,203.7,223.3,233.1,231.2,218.6,202.1,147.3,NA
2004,男性,第１四分位数,230,175.2,203.7,234.9,266.6,289.9,298.6,289.9,269.4,186.1,NA
2004,男性,中位数,299.8,196.2,231.6,273.8,323,360.4,383.9,387.3,369.7,245.3,NA
2004,男性,第３四分位数,401.2,220.4,265.9,321.9,392.1,447,484.4,498.9,486.1,350.4,NA
2004,男性,第９十分位数,521,248.4,307,379.8,474.6,547.2,604.2,624,614.3,527.6,NA
2004,男性,十分位分散係数,0.56,0.23,0.27,0.32,0.39,0.44,0.49,0.52,0.56,0.78,NA
2004,男性,四分位分散係数,0.29,0.12,0.13,0.16,0.19,0.22,0.24,0.27,0.29,0.34,NA
2004,女性,平均値,225.6,185.5,211.1,232.6,247.7,248.9,247,240.2,237.1,206.2,NA
2004,女性,第１十分位数,141.2,144.3,156.1,155.9,147.1,140.8,134.7,133,132.3,119.2,NA
2004,女性,第１四分位数,168.6,162.5,179.5,190.2,183.4,172,164.9,160.4,158.4,137.5,NA
2004,女性,中位数,206.6,182.4,206.7,226.7,236.9,230.1,217.7,209.2,204.2,171.7,NA
2004,女性,第３四分位数,258.5,205.5,237,265,292.4,301.8,301.4,290.8,283,234.4,NA
2004,女性,第９十分位数,329,229.8,269.8,308.5,354.9,376.8,391.7,387.8,383,341.7,NA
2004,女性,十分位分散係数,0.45,0.23,0.28,0.34,0.44,0.51,0.59,0.61,0.61,0.65,NA
2004,女性,四分位分散係数,0.22,0.12,0.14,0.16,0.23,0.28,0.31,0.31,0.3,0.28,NA
2005,男性,平均値,337.8,197.3,239.3,287.3,343.5,392.6,416.1,418.2,399.9,291.2,NA
2005,男性,第１十分位数,184.1,152.4,176.7,201.5,222,233.4,232.2,217,196.5,149.2,NA
2005,男性,第１四分位数,230.2,172.7,202.7,234.9,268,293,301.9,293.5,269.6,184.4,NA
2005,男性,中位数,301.9,195,232.3,274,324.9,369.1,389.5,394.9,372.9,243,NA
2005,男性,第３四分位数,407.6,218.2,265.5,323.1,395.4,461.2,497.8,509.6,497.1,336.2,NA
2005,男性,第９十分位数,535.6,244.5,307.6,382.5,477,572.6,625.9,641.5,632.3,512.3,NA
2005,男性,十分位分散係数,0.58,0.24,0.28,0.33,0.39,0.46,0.51,0.54,0.58,0.75,NA
2005,男性,四分位分散係数,0.29,0.12,0.13,0.16,0.2,0.23,0.25,0.27,0.31,0.31,NA
2005,女性,平均値,222.5,185.1,210.6,230.4,245.9,245.3,240.4,230.3,225.7,196.4,NA
2005,女性,第１十分位数,133.5,139.9,150.2,148.1,141,131.3,128.1,125,124.1,112.9,NA
2005,女性,第１四分位数,162.3,160.6,177.3,183,177.6,161.8,155.6,149.8,149.5,131.7,NA
2005,女性,中位数,202.8,182.4,206,223.1,234.7,220.9,207.4,195.6,191.6,160.3,NA
2005,女性,第３四分位数,257.1,207,238.5,264.5,293.9,300.6,295,278.7,265.9,210.9,NA
2005,女性,第９十分位数,329.8,232.5,274.5,311.2,353.7,383.5,390.9,385.3,374.6,318.8,NA
2005,女性,十分位分散係数,0.48,0.25,0.3,0.37,0.45,0.57,0.63,0.67,0.65,0.64,NA
2005,女性,四分位分散係数,0.23,0.13,0.15,0.18,0.25,0.31,0.34,0.33,0.3,0.25,NA
2006,男性,平均値,337.7,201.6,241.7,287.1,342.1,392.4,416.5,420,395.7,289.8,NA
2006,男性,第１十分位数,184.6,155,178.3,200.6,219.5,234.1,230.5,218,194.9,147.1,NA
2006,男性,第１四分位数,230,175.5,204.5,234.2,266.3,293.2,301.2,297.6,267.6,182.8,NA
